CH4,CO2,CO,Health Effect
1.9,310,7,No Health Effect
2,266,0,No Health Effect
2,324,5,No Health Effect
2,274,9,No Health Effect
1.9,345,4,No Health Effect
1.9,336,8,No Health Effect
2,344,6,No Health Effect
2,283,7,No Health Effect
2,249,8,No Health Effect
2,339,0,No Health Effect
2,272,7,No Health Effect
2,316,4,No Health Effect
2,268,5,No Health Effect
2,208,5,No Health Effect
2,245,3,No Health Effect
2,208,3,No Health Effect
2,213,3,No Health Effect
2,340,4,No Health Effect
2,203,0,No Health Effect
2,265,0,No Health Effect
2,343,2,No Health Effect
2,229,3,No Health Effect
2,262,2,No Health Effect
2,205,1,No Health Effect
2,232,0,No Health Effect
2,300,7,No Health Effect
2,201,4,No Health Effect
2,332,7,No Health Effect
2,205,9,No Health Effect
2,256,4,No Health Effect
2,237,9,No Health Effect
2,268,8,No Health Effect
2,232,6,No Health Effect
2,208,6,No Health Effect
2,221,1,No Health Effect
2,289,8,No Health Effect
2,242,4,No Health Effect
2,276,4,No Health Effect
2,230,5,No Health Effect
2,286,0,No Health Effect
1.9,320,5,No Health Effect
1.9,268,1,No Health Effect
1.9,310,5,No Health Effect
1.9,248,5,No Health Effect
1.9,298,0,No Health Effect
1.9,237,0,No Health Effect
1.9,206,7,No Health Effect
1.9,311,0,No Health Effect
1.9,336,7,No Health Effect
1.9,324,2,No Health Effect
1.9,223,7,No Health Effect
1.9,324,5,No Health Effect
1.9,228,8,No Health Effect
1.9,337,2,No Health Effect
1.9,285,5,No Health Effect
1.9,251,4,No Health Effect
1.9,237,9,No Health Effect
1.9,280,3,No Health Effect
2,304,4,No Health Effect
1.9,205,3,No Health Effect
1.9,230,0,No Health Effect
2,313,2,No Health Effect
2,286,1,No Health Effect
2,215,8,No Health Effect
2,270,0,No Health Effect
2,209,4,No Health Effect
2,204,8,No Health Effect
2,224,8,No Health Effect
2,308,9,No Health Effect
2,288,8,No Health Effect
2,344,5,No Health Effect
2,329,9,No Health Effect
1.9,263,3,No Health Effect
1.9,226,9,No Health Effect
1.9,213,4,No Health Effect
1.9,242,3,No Health Effect
1.9,254,4,No Health Effect
1.9,275,2,No Health Effect
2,230,3,No Health Effect
1.9,273,6,No Health Effect
2,287,7,No Health Effect
2,310,5,No Health Effect
2,313,9,No Health Effect
2,313,6,No Health Effect
1.9,216,2,No Health Effect
1.9,327,0,No Health Effect
1.9,231,5,No Health Effect
2,295,9,No Health Effect
2,306,5,No Health Effect
2,350,0,No Health Effect
2,312,4,No Health Effect
2.1,334,4,No Health Effect
2,290,9,No Health Effect
2,338,3,No Health Effect
2,346,5,No Health Effect
2.1,279,8,No Health Effect
2,313,5,No Health Effect
2,265,4,No Health Effect
1.9,256,1,No Health Effect
1.9,218,5,No Health Effect
1.9,208,7,No Health Effect
1.9,214,9,No Health Effect
1.9,289,9,No Health Effect
2,337,8,No Health Effect
2,253,7,No Health Effect
2,316,0,No Health Effect
2,313,5,No Health Effect
2,226,0,No Health Effect
2,266,5,No Health Effect
2,213,3,No Health Effect
2,226,1,No Health Effect
2,308,6,No Health Effect
2,245,1,No Health Effect
2,250,9,No Health Effect
2,347,8,No Health Effect
2,300,6,No Health Effect
2,246,7,No Health Effect
2,208,7,No Health Effect
2,214,8,No Health Effect
2,332,8,No Health Effect
2,303,7,No Health Effect
2,271,2,No Health Effect
2,267,5,No Health Effect
2,337,3,No Health Effect
2,308,1,No Health Effect
2,342,7,No Health Effect
2,234,9,No Health Effect
2,247,5,No Health Effect
2,201,1,No Health Effect
2,334,6,No Health Effect
2,281,7,No Health Effect
2,273,1,No Health Effect
2,251,3,No Health Effect
2,346,6,No Health Effect
2,277,4,No Health Effect
2,211,3,No Health Effect
2,340,6,No Health Effect
2,262,6,No Health Effect
2.1,264,2,No Health Effect
2.1,219,5,No Health Effect
2.1,270,1,No Health Effect
2.1,267,5,No Health Effect
2.1,291,4,No Health Effect
2.1,222,1,No Health Effect
2.1,259,1,No Health Effect
2.1,347,9,No Health Effect
2,219,5,No Health Effect
2,287,4,No Health Effect
2,200,1,No Health Effect
2.1,300,1,No Health Effect
2.1,214,6,No Health Effect
2.1,231,0,No Health Effect
2.1,303,7,No Health Effect
2.1,310,2,No Health Effect
2.1,339,9,No Health Effect
2,345,6,No Health Effect
2,346,4,No Health Effect
2,263,9,No Health Effect
2,331,3,No Health Effect
2,298,1,No Health Effect
2,345,0,No Health Effect
2,266,7,No Health Effect
1.9,313,8,No Health Effect
2,311,3,No Health Effect
2,212,0,No Health Effect
2,296,2,No Health Effect
2,265,4,No Health Effect
2,312,5,No Health Effect
2,322,5,No Health Effect
2,307,7,No Health Effect
2,250,2,No Health Effect
2,204,9,No Health Effect
2,236,7,No Health Effect
2,339,9,No Health Effect
2,216,4,No Health Effect
2,339,3,No Health Effect
2,258,9,No Health Effect
2,304,6,No Health Effect
2,278,6,No Health Effect
2,208,0,No Health Effect
2,251,9,No Health Effect
2,290,7,No Health Effect
2,252,0,No Health Effect
2.1,282,3,No Health Effect
2.1,303,3,No Health Effect
2,252,5,No Health Effect
2.1,271,8,No Health Effect
2.6,310,0,No Health Effect
2.6,346,3,No Health Effect
2.3,244,2,No Health Effect
2.3,242,3,No Health Effect
2.1,221,1,No Health Effect
2,329,1,No Health Effect
2,254,8,No Health Effect
2,220,0,No Health Effect
2,218,9,No Health Effect
1.9,328,5,No Health Effect
1.9,282,5,No Health Effect
2,231,5,No Health Effect
2,234,3,No Health Effect
2,304,2,No Health Effect
2,284,4,No Health Effect
2,250,3,No Health Effect
1.9,210,6,No Health Effect
1.9,259,8,No Health Effect
2,200,6,No Health Effect
2,317,1,No Health Effect
2,280,3,No Health Effect
2,263,5,No Health Effect
2,318,0,No Health Effect
2,298,4,No Health Effect
2,259,9,No Health Effect
2,248,3,No Health Effect
2,341,2,No Health Effect
2,322,7,No Health Effect
2,296,1,No Health Effect
2,327,8,No Health Effect
2,331,8,No Health Effect
2,254,9,No Health Effect
2,240,8,No Health Effect
2,214,0,No Health Effect
2,288,9,No Health Effect
2,297,1,No Health Effect
2,289,9,No Health Effect
2,258,7,No Health Effect
2,237,0,No Health Effect
1.9,247,6,No Health Effect
2,290,5,No Health Effect
1.9,277,7,No Health Effect
1.9,249,7,No Health Effect
1.9,310,9,No Health Effect
1.9,253,5,No Health Effect
1.9,326,5,No Health Effect
1.9,288,1,No Health Effect
1.9,316,4,No Health Effect
1.9,202,6,No Health Effect
1.9,235,3,No Health Effect
1.9,246,1,No Health Effect
1.9,269,3,No Health Effect
2,240,1,No Health Effect
2,281,7,No Health Effect
2,286,0,No Health Effect
1.9,315,8,No Health Effect
1.9,322,5,No Health Effect
1.9,211,4,No Health Effect
2,331,2,No Health Effect
2,283,7,No Health Effect
2,291,8,No Health Effect
2,278,7,No Health Effect
2,269,2,No Health Effect
2,237,5,No Health Effect
2,270,7,No Health Effect
2,236,5,No Health Effect
2,303,4,No Health Effect
2,241,0,No Health Effect
2,212,5,No Health Effect
2,258,0,No Health Effect
2,245,6,No Health Effect
1.9,229,2,No Health Effect
2,307,8,No Health Effect
1.9,270,6,No Health Effect
2,203,2,No Health Effect
2,267,9,No Health Effect
1.9,260,5,No Health Effect
1.9,298,6,No Health Effect
1.9,205,7,No Health Effect
1.9,346,5,No Health Effect
1.9,233,2,No Health Effect
1.9,347,6,No Health Effect
1.9,257,7,No Health Effect
1.9,294,0,No Health Effect
2,202,5,No Health Effect
2,332,7,No Health Effect
2,217,3,No Health Effect
2,345,0,No Health Effect
2,308,7,No Health Effect
2.1,250,0,No Health Effect
2.1,213,7,No Health Effect
2.2,209,1,No Health Effect
2.1,298,2,No Health Effect
2.1,218,6,No Health Effect
2.1,283,1,No Health Effect
2.2,212,8,No Health Effect
2.4,201,8,No Health Effect
2.4,227,1,No Health Effect
2.5,312,4,No Health Effect
2.4,283,0,No Health Effect
2.2,1987,20,Possible health effects with long-term exposure.
2,1152,26,Possible health effects with long-term exposure.
2,2354,11,Possible health effects with long-term exposure.
2,846,20,Possible health effects with long-term exposure.
1.9,1814,15,Possible health effects with long-term exposure.
1.9,1726,34,Possible health effects with long-term exposure.
1.9,1401,26,Possible health effects with long-term exposure.
1.9,1247,20,Possible health effects with long-term exposure.
2,1181,31,Possible health effects with long-term exposure.
2.1,898,27,Possible health effects with long-term exposure.
2.1,907,11,Possible health effects with long-term exposure.
2.1,1690,31,Possible health effects with long-term exposure.
2.2,1658,32,Possible health effects with long-term exposure.
2.2,561,12,Possible health effects with long-term exposure.
2.2,1006,19,Possible health effects with long-term exposure.
2.3,1491,24,Possible health effects with long-term exposure.
2.6,2330,29,Possible health effects with long-term exposure.
